,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPINT2,19.8646448286337,-3.06276992084518,0.297223876613328,-6.94012185141079,3.91761881818957e-12,7.3529652508296e-10
ILVBL,1.98732135616673,-3.06087704418932,0.490722914127999,-4.1996755905549,2.67297674724613e-05,0.00117964965691303
CES1,34.9250956852522,-3.05984552184039,0.352698299194517,-5.84024795850905,5.21231854227924e-09,5.26124945040105e-07
C16orf91,1.33633965894604,-3.05964174262174,0.623245843583203,-3.30470193075067,0.000950774569848043,0.0244491306315727
CFAP73,8.23023069096369,-3.05181085353736,0.437284933641911,-4.69215995266275,2.70335632046333e-06,0.000156535834598744
IGFBP7,54.0797646037725,-3.04326404041616,0.310198436913596,-6.58695788652637,4.48929548810255e-11,7.11705883740063e-09
RARRES2,0.903550481964415,-3.04033982409188,0.657419703533287,-3.10355745823577,0.00191209102460644,0.0436068915374281
NDUFA2,6.63175984603131,-3.035203891592,0.364863400138804,-5.57798861386962,2.43315577122185e-08,2.20727781046009e-06
PRADC1,1.38066286922153,-3.02868572689994,0.614866071122609,-3.2993944895935,0.000968936437038843,0.0247990016934283
MTLN,1.75158514326437,-3.021552406053,0.625408853511368,-3.23236934479415,0.00122768263233463,0.0302306504629667
NHP2,5.73768177263106,-3.02136693407616,0.380925859830874,-5.30645762661957,1.11776129450128e-07,8.90337764776169e-06
RPL17-C18orf32,39.1560000101978,-3.00992440221351,0.299449155626194,-6.71207236504124,1.91879486705588e-11,3.19714299838321e-09
EEF2,226.902531597425,-3.00891388736886,0.247853891494929,-8.10523439939601,5.2643925228869e-16,1.75433194910653e-13
RPL34,54.4721498569053,-3.00330354788033,0.238538571029832,-8.39823739712847,4.53230197520066e-17,1.89763997315517e-14
RPS29,37.9231576548659,-2.9942944776787,0.287571639905302,-6.93494837785614,4.06369523949844e-12,7.54046358701933e-10
CLDN3,8.41066397972866,-2.99423914170132,0.409714046578926,-4.8673926567884,1.13080215777311e-06,7.29836697006998e-05
LAMTOR2,1.91375902425374,-2.99267825019155,0.557008625278398,-3.57746390227906,0.000346944114112019,0.0106489669912315
SMDT1,9.56680379932099,-2.9806365812879,0.312312968473527,-6.34183265257455,2.27047873958527e-10,3.13986759151541e-08
NDUFC1,5.86886637027412,-2.9746915890102,0.359983818671046,-5.48550097696109,4.12299278101367e-08,3.60023257332471e-06
TMED1,2.07535439213657,-2.97224014909287,0.601138422464065,-3.28084194154262,0.00103497725655576,0.0262862070858504
FAM166A,4.73240341487907,-2.97130194173197,0.424076494945884,-4.64845839188404,3.3442506245909e-06,0.00018895594619012
ACTR1B,6.64339608765508,-2.9709636782618,0.431025632903516,-4.57272961931476,4.81411193715045e-06,0.000256057439158729
ADIRF,4.30547846387539,-2.96751597234502,0.468090294421532,-4.20328299004039,2.63071357066829e-05,0.00116414422480874
CAPS,70.7719435182587,-2.95928199874129,0.280620813926613,-6.98195537004492,2.91099614489071e-12,5.65876857737147e-10
GUK1,22.8234674098833,-2.95394703152042,0.300305120301589,-6.50653918107731,7.69018519644153e-11,1.16271327845087e-08
