row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000088826,612.6222981,2.374298985,0.308085469,4.460771837,8.17E-06,0.00086868
ENSG00000122952,299.2708297,2.36922474,0.172269939,7.948135039,1.89E-15,7.24E-13
ENSG00000185052,54.88209147,2.368457634,0.392194627,3.489230954,0.000484412,0.031108925
ENSG00000277224,23.81414724,2.368050842,0.259504396,5.271782928,1.35E-07,1.93E-05
ENSG00000278828,642.7144329,2.361636434,0.339994907,4.004873035,6.21E-05,0.005305858
ENSG00000211652,170.5754809,2.357579191,0.379695238,3.575444345,0.000349634,0.023681744
ENSG00000140479,232.0750355,2.341373008,0.362481985,3.700523241,0.000215155,0.015894796
ENSG00000138160,183.1278522,2.303965276,0.204837963,6.365837952,1.94E-10,4.01E-08
ENSG00000148926,877.1526825,2.295967761,0.370397498,3.498856679,0.000467258,0.030069634
ENSG00000163736,4999.544296,2.293570361,0.330064928,3.919139088,8.89E-05,0.007354954
ENSG00000134057,181.8264992,2.286457697,0.191843039,6.705782531,2.00E-11,4.84E-09
ENSG00000085741,32.21406246,2.282594578,0.371403919,3.453368458,0.000553632,0.034781048
ENSG00000179750,87.63215536,2.270198848,0.299762066,4.237356871,2.26E-05,0.002187737
ENSG00000011105,26.85066805,2.26972265,0.3458054,3.671783754,0.000240863,0.017542794
ENSG00000138722,254.4239513,2.268583274,0.343286885,3.695402682,0.000219539,0.016179992
ENSG00000268119,8.005723192,2.262645333,0.366260914,3.447393055,0.000566024,0.035395396
ENSG00000259772,50.95719794,2.262520974,0.207273593,6.09108451,1.12E-09,2.12E-07
ENSG00000117400,49.5303187,2.262038927,0.332573888,3.79476252,0.000147785,0.011522751
ENSG00000006327,90.49446432,2.249064115,0.373161821,3.347245202,0.00081619,0.048031063
ENSG00000164181,170.4585078,2.245455862,0.326031968,3.820042158,0.000133429,0.010590146
ENSG00000204323,134.2164848,2.242208248,0.337466767,3.680979487,0.00023234,0.016961894
ENSG00000109674,19.732501,2.234235661,0.25436362,4.852249152,1.22E-06,0.000148761
ENSG00000169247,76.61080095,2.229034419,0.291064749,4.222546433,2.42E-05,0.002329338
ENSG00000104147,12.02643723,2.228011425,0.250419081,4.903825292,9.40E-07,0.00011684
ENSG00000163430,110.9869983,2.223291038,0.35789923,3.417976169,0.000630886,0.038670207
ENSG00000188672,24.61046787,2.221730805,0.312475909,3.909839987,9.24E-05,0.007603264
ENSG00000078900,28.21159454,2.212526901,0.278330447,4.356429249,1.32E-05,0.001332952
ENSG00000188610,9.538102501,2.202454011,0.324028276,3.710953953,0.00020648,0.01532703
ENSG00000072422,193.5432637,2.199660509,0.334145024,3.590239034,0.000330375,0.022709941
ENSG00000187800,291.6287022,2.195774058,0.335194158,3.567407218,0.000360531,0.024260599
ENSG00000168268,170.7756294,2.192640537,0.247531429,4.818137803,1.45E-06,0.00017318
ENSG00000122786,68.09685642,2.192443123,0.355699821,3.35238606,0.000801182,0.047407607
ENSG00000136982,20.93658441,2.191904341,0.292540299,4.074325298,4.61E-05,0.004081324
ENSG00000051341,76.00638102,2.182255349,0.186788605,6.329376195,2.46E-10,5.01E-08
ENSG00000119326,88.37093396,2.179940043,0.223430094,5.281025588,1.28E-07,1.84E-05
ENSG00000186642,58.3419018,2.171828623,0.313563468,3.73713376,0.00018613,0.014121239
ENSG00000088053,226.0914936,2.164859134,0.331957088,3.50906541,0.000449684,0.0291814
ENSG00000169704,540.0164261,2.164393856,0.313336927,3.716107987,0.000202315,0.015053997
ENSG00000088726,203.1632382,2.163614316,0.339321579,3.429237595,0.000605279,0.037622126
ENSG00000142089,6922.681898,2.158950549,0.321289757,3.607181753,0.000309541,0.021747182
ENSG00000117724,141.1059619,2.155298167,0.192151536,6.012432625,1.83E-09,3.39E-07
