row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000174799,2.45549067,4.983081076,1.691874398,2.945302017,0.003226396,0.01691169
ENSG00000179295,192.5109342,0.502428582,0.170521096,2.946430639,0.003214645,0.01691169
ENSG00000123159,7.355597791,-2.757187675,0.94030695,-2.932220883,0.003365473,0.017494896
ENSG00000124164,2.636663521,-4.697910145,1.628946352,-2.88401772,0.003926367,0.020243316
ENSG00000103942,4.36905759,3.855320338,1.346586761,2.863031518,0.004196088,0.021458045
ENSG00000269821,2.656767216,-4.694490444,1.643944666,-2.855625583,0.004295213,0.021787816
ENSG00000269163,2.575659674,-4.656917068,1.633336258,-2.851168609,0.004355886,0.021918821
ENSG00000144218,2.528101737,-4.634623279,1.637200984,-2.830821216,0.004642867,0.023177484
ENSG00000152767,2.56956431,-4.667347216,1.651524593,-2.826083993,0.004712091,0.023337835
ENSG00000138814,7.799281571,-2.34696995,0.843496785,-2.78242904,0.005395366,0.026513167
ENSG00000230606,4.648954664,3.336527258,1.202058705,2.775677465,0.005508683,0.026860166
ENSG00000108349,8.056389255,2.107098451,0.762862297,2.762095413,0.005743169,0.027367072
ENSG00000117036,2.453089559,-4.584679135,1.657639104,-2.765788478,0.005678535,0.027367072
ENSG00000184937,4.914928815,-3.642345916,1.31835852,-2.762788619,0.005730987,0.027367072
ENSG00000198087,10.76801834,1.987779376,0.727602622,2.73195741,0.006295928,0.029775479
ENSG00000173391,2.639043546,-4.709773349,1.729794362,-2.722735981,0.006474378,0.030390922
ENSG00000132669,3.080129618,4.274179201,1.572582243,2.717936834,0.006569038,0.03060685
ENSG00000213859,11.49185358,1.640739164,0.605255216,2.710822014,0.006711664,0.031041447
ENSG00000169991,59.83779964,0.737400417,0.273318422,2.697953586,0.006976717,0.032031787
ENSG00000213626,2.350060718,-4.518422548,1.691325911,-2.671526828,0.007550704,0.034415888
ENSG00000143816,2.336052387,-4.511120085,1.704706144,-2.646274315,0.008138379,0.036564574
ENSG00000164916,13.33076912,-1.58901309,0.600460625,-2.646323546,0.008137195,0.036564574
ENSG00000166888,2.349498297,-4.53153029,1.73331928,-2.614365594,0.008939332,0.039878299
ENSG00000175911,1.951994244,4.649933402,1.782932394,2.608025642,0.009106613,0.040338449
ENSG00000011454,13.35502581,-1.515658457,0.582309239,-2.602841162,0.009245478,0.040667171
ENSG00000213853,4.266148611,-3.409788463,1.313896347,-2.595173105,0.009454329,0.041297034
ENSG00000103034,5.536398747,-2.701741056,1.062398481,-2.543058094,0.010988696,0.04734171
ENSG00000236233,7.761117213,2.088054803,0.820959917,2.543430878,0.010976977,0.04734171
ENSG00000169047,2.733947221,4.113466942,1.621442856,2.536917614,0.011183327,0.047852467
